Kod stacji,DsJelw05,DsWrocWie,KpCiechoTezniowa,KpWloclSielska,LbBialaPOrzechowa,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MzWarszKrucza,PkPrzemWIOSDolin
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
10/17/2001 0:00,26,34.1,39.5,43.3,20,41,87.4,70.7,53,106.91
10/18/2001 0:00,49,67,,,,60,84.2,42.5,56.7,
10/19/2001 0:00,77,,60.4,,16,50,75.1,37.9,49.4,76.09
10/20/2001 0:00,40,,,,,55,96.9,45.3,49.4,
10/21/2001 0:00,44,,36.8,,7,,101.2,63.3,23.8,86.93
10/22/2001 0:00,12,24.1,,,,40,31.7,17.2,51.2,
10/23/2001 0:00,27,25.5,33,,9,32,48.9,19,32.9,42.14
10/24/2001 0:00,34,40,,,,26,47.2,23.3,23.8,
10/25/2001 0:00,29,65,42.8,,11,69,103.9,49.8,32.9,80.96
10/26/2001 0:00,21,40.9,,,,64,89,91.8,31.1,
10/27/2001 0:00,27,55.5,41.2,,,56,68.1,,56.7,
10/28/2001 0:00,36,21.3,,,,,49.5,,86,
10/29/2001 0:00,9,15.2,22.4,,8,,29.9,20.4,31.8,31.6
10/30/2001 0:00,19,30.4,,,,44,32.9,15.8,34.8,
10/31/2001 0:00,26,,23.5,,15,28,57.7,25.7,45.7,48.96
11/1/2001 0:00,11,,13.9,,7,,18.8,,11,20.3
11/2/2001 0:00,13,27.4,,,,47,32.3,,18.3,
11/3/2001 0:00,18,35.9,36.8,,17,59,51.4,,32.9,54.78
11/4/2001 0:00,20,42,,,,,42.1,,38.4,
11/5/2001 0:00,13,24.1,17.5,,7,38,42.1,,31.1,54.91
11/6/2001 0:00,15,20.6,,,,37,46.1,,32.9,
11/7/2001 0:00,8,12.3,37.6,,8,27,31.3,,21.9,41.6
11/8/2001 0:00,4,18,,,,27,24.3,,11,
11/9/2001 0:00,2,19.5,19.1,,,27,24.4,,14.6,30.19
11/10/2001 0:00,8,50.7,,,,47,61.6,,25.6,
11/11/2001 0:00,21,38.6,27.5,,,,72.7,,23.8,33.45
11/12/2001 0:00,33,34.1,,,,62,65.2,,40.2,
11/13/2001 0:00,18,29,48.2,,33,58,49.7,,25.6,33.14
11/14/2001 0:00,30,34.4,,,,63,33.2,,27.4,
11/15/2001 0:00,24,26,30.1,,10,43,54.2,,36.6,37.32
11/16/2001 0:00,18,29.2,,,,41,36.8,,21.9,
11/17/2001 0:00,23,,32,,13,40,81.2,,58.5,78.56
11/18/2001 0:00,22,,,,,,60.4,,36.6,
11/19/2001 0:00,12,19.3,17.3,,7,33,50.5,,29.3,29.38
11/20/2001 0:00,12,29.1,,,,,31,,80.5,
11/21/2001 0:00,14,20.7,33.9,,31,,32.6,,42.1,35.44
11/22/2001 0:00,10,14.2,,,,,23.6,,23.8,
11/23/2001 0:00,7,13.9,12.1,,,,19.5,,14.6,
11/24/2001 0:00,10,19.1,,,,,17.2,,14.6,
11/25/2001 0:00,17,33.7,23.6,,,,21.3,,12.8,
11/26/2001 0:00,24,77.5,,,,,34.9,,29.3,
11/27/2001 0:00,28,76,36.4,,14,,104,,49.4,158.56
11/28/2001 0:00,17,28.2,,,,,153.1,,54.9,
11/29/2001 0:00,10,34.4,42.6,,13,,59.7,,56.7,95.25
11/30/2001 0:00,24,39.3,,,,,42.9,,40.2,
