Kod stacji,DsWrocWie,KpCiechoTezniowa,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MzWarszKrucza,PkPrzemWIOSDolin
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g
11/15/2000 0:00,72.8,39,65,35.1,32,22.9,
11/16/2000 0:00,44.1,,49,34.7,38,37.8,
11/17/2000 0:00,64.7,26,68,46.3,43,,
11/18/2000 0:00,44.7,,53,27.8,42,43.4,
11/19/2000 0:00,59.3,62,,26.6,35,,
11/20/2000 0:00,53.7,,83,52.3,80,56.4,
11/21/2000 0:00,46.3,41,60,51.8,66,41.5,
11/22/2000 0:00,64.2,,95,55.6,79,65.1,
11/23/2000 0:00,64.9,53,70,50.8,51,52.7,
11/24/2000 0:00,45.8,,70,37.3,73,,
11/25/2000 0:00,73.6,50,63,39,45,56.4,73.09
11/26/2000 0:00,17.9,,,19.3,21,,
11/27/2000 0:00,26.5,25,51,19.6,22,46.5,74.96
11/28/2000 0:00,38.8,,58,26.4,43,64.5,
11/29/2000 0:00,53.7,39,69,56,85,120.9,84
11/30/2000 0:00,77.4,,89,61.7,111,100.4,
12/1/2000 0:00,92.2,75,110,80.1,129,,165.77
12/2/2000 0:00,76.6,,115,43.3,68,47.1,
12/3/2000 0:00,42.7,63,,37.4,55,,155.23
12/4/2000 0:00,61.9,,77,41.1,52,49.6,
12/5/2000 0:00,62.3,41,54,35,46,91.8,109.04
12/6/2000 0:00,62.3,,47,40.1,31,44.6,
12/7/2000 0:00,57.8,55,62,37,45,87.4,35.14
12/8/2000 0:00,121.9,,60,54.4,75,,
12/9/2000 0:00,,50,67,43.6,58,57.7,111.52
12/10/2000 0:00,,,,39.9,60,,
12/11/2000 0:00,32.5,33,38,23.7,24,50.8,35.28
12/12/2000 0:00,23.1,,35,21.9,26,49.6,
12/13/2000 0:00,26.2,16,34,22.3,28,59.5,36.22
12/14/2000 0:00,21.9,,49,20.7,23,57,
12/15/2000 0:00,15,16,26,18.5,18,,50.41
12/16/2000 0:00,18.4,,23,9.3,10,41.5,
12/17/2000 0:00,18.3,23,,10.1,11,,51.97
12/18/2000 0:00,44.8,,58,18.4,23,42.2,
12/19/2000 0:00,64.4,41,61,28.4,34,32.9,43.21
12/20/2000 0:00,70.3,,80,24.1,31,29.8,
12/21/2000 0:00,59.4,129,105,29.2,34,75.6,84.87
12/22/2000 0:00,,,78,49.3,93,,
12/23/2000 0:00,,40,70,44.1,56,63.2,54.85
12/24/2000 0:00,,,,36.8,44,,
12/25/2000 0:00,,146,,56.3,74,,55.59
12/26/2000 0:00,,,,45.9,70,,
12/27/2000 0:00,93.5,139,60,31.4,39,45.3,66.47
12/28/2000 0:00,38.2,,41,26.2,30,37.2,
12/29/2000 0:00,,,61,21.4,26,,64.34
12/30/2000 0:00,,,58,20.4,27,62,
12/31/2000 0:00,,,,,,,37.73
